incorrect,correct,errors
"pa Tinitiyak rin ni Diego na nagagawa pa rin niya ang kaniyang trabaho sa opisina, kahit lumalabas-labas na siya sa Bubble Gang.","Tinitiyak pa rin ni Diego na nagagawa pa rin niya ang kaniyang trabaho sa opisina, kahit lumalabas-labas na siya sa Bubble Gang.",operations: swap; errors: 
Ang kalituhan sa payment scheme o paraan ng pagbabayad ng toll ang naging sanhi nang pagkakaroon ng mabigat na ang daloy ng trapiko sa Skyway Stage 3 noong Lunes.,Ang kalituhan sa payment scheme o paraan ng pagbabayad ng toll ang naging sanhi nang pagkakaroon ng mabigat na daloy ng trapiko sa Skyway Stage 3 noong Lunes.,operations: insert; errors: 
"Love ko po si Tuna ang, ko hindi po gusto mawala si Tuna, masayang sabi ni Mamay.","Love ko po si Tuna, hindi ko po gusto mawala si Tuna, masayang sabi ni Mamay.","operations: swap, insert; errors: "
"Camp VICENTE LIM, Laguna, Philippines â € ” Nilinaw kahapon ng â € œTask Force Americaâ €  na kabilang sila pagsasampa sa ng kaso laban sa isang mayoral candidate, incumbent vice mayor at apat na iba pa kaugnay sa bigong pagpatay kay Infanta Mayor Filipina Grace America noong Pebrero, 2022 sa Quezon.","Camp VICENTE LIM, Laguna, Philippines â € ” Nilinaw kahapon ng â € œTask Force Americaâ €  na kabilang sila sa pagsasampa ng kaso laban sa isang mayoral candidate, incumbent vice mayor at apat na iba pa kaugnay sa bigong pagpatay kay Infanta Mayor Filipina Grace America noong Pebrero, 2022 sa Quezon.",operations: swap; errors: 
"Nang magpahinga siya, laking gulat na lang umano biktima nang siya magising na nasa loob ng ng kuwarto ang dalawang pulis.","Nang magpahinga siya, laking gulat na lang umano biktima nang magising siya na nasa loob na ng kuwarto ang dalawang pulis.","operations: swap, substitute; errors: ligature"
Nadagdag pa rito sa pagpapatawa ang sina Rufa Mae Quinto at Betong,Nadagdag pa rito sa pagpapatawa sina Rufa Mae Quinto at Betong.,"operations: insert, delete; errors: "
"Sa SWS survey nang na isinagawa noong Abril, panlima ang LPGMA kung saan pinili ito ng 3. 02 %.","Sa SWS survey na isinagawa noong Abril, panlima ang LPGMA kung saan pinili ito ng 3. 02 %.",operations: insert; errors: 
"Pero ayon sa aktres, ayaw niyang na maging masyadong enggrande ang bahay niya.","Pero ayon sa aktres, ayaw niyang maging masyadong enggrande ang bahay niya.",operations: insert; errors: 
And iyun din po ang sa binilin akin ng Papa ko.,And iyun din po ang binilin sa akin ng Papa ko.,operations: swap; errors: 
"Pagkatapos nito ay nagkaisa ang lahat nang mga naroroon sa Sanedrin na hatulan ng kamatayan si Hesus kaya Siyay sinimulan na nilang pahirapan, alipustahin, at sinaktan.","Pagkatapos nito ay nagkaisa ang lahat ng mga naroroon sa Sanedrin na hatulan ng kamatayan si Hesus kaya Siyay sinimulan nilang pahirapan, alipustahin, at sinaktan.","operations: insert, substitute; errors: ng_nang"
"Sa kabila umano na hirap makakuha ng bakuna, ginagawa ng gobyerno ng ang kakayahan nito para masiguro na ang bansa ay magkaroon ng ligtas at epektibong COVID-19 vaccines para sa bawat Filipino.","Sa kabila umano na hirap makakuha ng bakuna, ginagawa ng gobyerno ang kakayahan nito para masiguro na ang bansa ay magkaroon ng ligtas at epektibong COVID-19 vaccines para sa bawat Filipino.","operations: insert, substitute; errors: ligature"
"Sa programang"" Dapat Alam Mo,"" sinasabing mayroong"" hair pulling disorder"" si Jennifer Young kaya hindi niya mapigilan ang sarili ng bunutin ang kaniyang buhok.","Sa programang"" Dapat Alam Mo,"" sinasabing mayroong"" hair pulling disorder"" si Jennifer Young kaya hindi niya mapigilan ang sarili na bunutin ang kaniyang buhok.",operations: substitute; errors: ligature
Hindi pa matukoy kung may ilang kasabwat pa ang nahuling salarin na nasa poder ang na ngayon ng mga awtoridad.,Hindi pa matukoy kung may ilang kasabwat pa ang nahuling salarin na nasa poder na ngayon ng mga awtoridad.,operations: insert; errors: 
na Noong time na yun siguro somehow medyo nangangapa pa ko dahil siguro first time kong seryoso when it comes to relationship.,Noong time na yun siguro somehow medyo nangangapa pa ko dahil siguro first time kong maging seryoso when it comes to relationship.,"operations: insert, delete; errors: "
"Ang Detoxicare Molecular Diagnostics Laboratory may 942, 722 ng COVID tests simula April 12, 2020 ay binayaran ng para lamang sa 331 RT PCR tests na nagkakahalagang P1. 13 milyon. Karamihan ay prinoproseso pa, ibinalik sa laboratoryo o dinenay pa.","Ang Detoxicare Molecular Diagnostics Laboratory na may 942, 722 na COVID tests simula April 12, 2020 ay binayaran ng para lamang sa 331 RT PCR tests na nagkakahalagang P1. 13 milyon. Karamihan ay prinoproseso pa, ibinalik sa laboratoryo o dinenay pa.","operations: substitute, delete; errors: ligature"
Aminado naman si Duterte-Carpio ng hindi nila napapag-usapan ng kanyang ama ang pagtako niya bise bilang presidente.,Aminado naman si Duterte-Carpio na hindi nila napapag-usapan ng kanyang ama ang pagtako niya bilang bise presidente.,"operations: substitute, swap; errors: ligature"
"Kaya naman bago pa ikasa ang laban, pinag-aralan muna nang Pinoy champion ang estilo ni Errol Spence Jr.","Kaya naman bago pa ikasa ang laban, pinag-aralan muna ng Pinoy champion ang estilo ni Errol Spence Jr.",operations: substitute; errors: ng_nang
"Baka naman gusto na niya akong gawing maybahay niya, hirit ni Bianca sabay sabing biro lang yun at hindi pine-pressure si pa Win.","Baka naman gusto na niya akong gawing maybahay niya, hirit ni Bianca sabay sabing biro lang yun at hindi pine-pressure si Win.",operations: insert; errors: 
"Wala pa silang playdate, pero target daw nilang ang ipalabas ito bago mag-Metro Manila Film Festival.","Wala pa silang playdate, pero target daw nilang ipalabas ito bago mag-Metro Manila Film Festival.",operations: insert; errors: 
Tuwang tuwa si Mark Herras nang ibalita niya na malapit na siya taping sa bagong project niya.,Tuwang tuwa si Mark Herras nang ibalita niya na malapit na siya mag-start taping sa bagong project niya.,operations: delete; errors: 
"na Ang problema lang ng ABS-CBN, mababa ang singil nila sa commercials ngayon","Ang problema lang ng ABS-CBN, mababa ang singil nila sa commercials ngayon.","operations: insert, delete; errors: "
"Nauna rito, sinabi ni Duterte na buhay ang nilalaro ni Gordon sa Red Cross kung saan ang kapital niya pa ay dugo.","Nauna rito, sinabi ni Duterte na buhay ang nilalaro ni Gordon sa Red Cross kung saan ang kapital niya ay dugo.",operations: insert; errors: 
Inaalam ay pa namin kung magkano at kung sino ang pa magbibigay rin sa ibang winner sa Olympics.,Inaalam pa namin kung magkano at kung sino pa ang magbibigay rin sa ibang winner sa Olympics.,"operations: insert, swap; errors: "
Sana noon pa ito pa ginawa para hindi naman naging kawawa ang mga kabataan na napagkaitan ng may kalidad ng edukasyon.,Sana noon pa ito ginawa para hindi naman naging kawawa ang mga kabataan na napagkaitan ng may kalidad na edukasyon.,"operations: insert, substitute; errors: ligature"
"Matatandaan na noong Hunyo 1, nagsagawa ng kahalintulad na operasyon ang militar sa Mlang, Cotabato laban sa mga miyembro ng Daulah Islamiyah, na siyang responsable umano sa serye ng mga pambobobomba sa Mindanao. Isang miyembro ng DI ang napatay isa at ang naaresto.","Matatandaan na noong Hunyo 1, nagsagawa ng kahalintulad na operasyon ang militar sa Mlang, Cotabato laban sa mga miyembro ng Daulah Islamiyah, na siyang responsable umano sa serye ng mga pambobobomba sa Mindanao. Isang miyembro ng DI ang napatay at isa ang naaresto.",operations: swap; errors: 
Ang mga sasakyan ng manggaling umano sa secondary o side street ay kailangan na mag-full stop kung papasok sa national road.,Ang mga sasakyan na manggaling umano sa secondary o side street ay kailangan na mag-full stop kung papasok sa national road.,operations: substitute; errors: ligature
"Sey pa niya, kailangan daw ng kagaya ni Jinggoy sa senado lalo na kung mananalo sina at Bongbong Sara.","Sey pa niya, kailangan daw ng kagaya ni Jinggoy sa senado lalo na kung mananalo sina Bongbong at Sara.",operations: swap; errors: 
Nagsimulang magtinda si Ken na mga alaga niyang halaman nang mag-lockdown noong nakaraang taon dahil sa COVID-19 panÂ ­ demic.,Nagsimulang magtinda si Ken ng mga alaga niyang halaman nang mag-lockdown noong nakaraang taon dahil sa COVID-19 panÂ ­ demic.,operations: substitute; errors: ligature
"Dahil dito, nag-high protein diet si Matt habang ng pinananatili ang carbs, at nagpalakas din para kaniyang muscles.","Dahil dito, nag-high protein diet si Matt habang pinananatili ang carbs, at nagpalakas din para sa kaniyang muscles.","operations: delete, insert; errors: "
"Hanggang ang sa pagtulog, ginagambala na raw siya ng matandang babae.","Hanggang sa pagtulog, ginagambala na raw siya ng matandang babae.",operations: insert; errors: 
"Nabatid na nakipagpulong na rin sila kay Vice President Duterte Sara, na siya ring kalihim ng DepEd, hinggil sa kanilang apela.","Nabatid na nakipagpulong na rin sila kay Vice President Sara Duterte, na siya ring kalihim ng DepEd, hinggil sa kanilang apela.",operations: swap; errors: 
"Ngayong araw lang nang makatanggap ang Pilipinas na dagdag pang 500, 000 na bakuna kontra-COVID-19 mula sa Tsina sa pamamagitan ng kumpanyang Sinovac Biotech.","Ngayong araw lang nang makatanggap ang Pilipinas ng dagdag pang 500, 000 na bakuna kontra-COVID-19 mula sa Tsina sa pamamagitan ng kumpanyang Sinovac Biotech.",operations: substitute; errors: ligature
"Sa ulat, alas-11: 50 ng gabi ng Hulyo 29 nang ang maaresto ang dalawa sa Punzalan St. Rd 10, Brgy.","Sa ulat, alas-11: 50 ng gabi ng Hulyo 29 nang maaresto ang dalawa sa Punzalan St. Rd 10, Brgy.",operations: insert; errors: 
"Fan ka ba ng mga nail extension? Kung gayun, baka gusto mong makilala ang lalaking may pinakamahabang nail extension sa mundo -  si Odilon Ozare. Ang bawat extension ng kuko sa kanyang mga daliri ay may sukat na 1. 21 m ( 4 ft ), sapat na para makuha niya ang Guinness World Record.","Fan ka ba ng mga nail extension? Kung gayun, baka gusto mong makilala ang lalaking may pinakamahabang nail extension sa mundo - - si Odilon Ozare. Ang bawat extension ng kuko sa kanyang mga daliri ay may sukat na 1. 21 m ( 4 ft ), sapat na para makuha niya ang Guinness World Record.",operations: substitute; errors: hyphenation
"sino ka, makikita sa salita mo na ginagamit, kaya ingat-ingat!","Kung sino ka, makikita sa salita mo na ginagamit, kaya ingat-ingat!",operations: delete; errors: 
Inanunsyo naman ngayong araw ng MalacaÃ ± na pwede nang lumabas-labas ng bahay ang mga batang 5-anyos patas bastat nasa ilalim ng general community quarantine ( GCQ ) o modified GCQ.,Inanunsyo naman ngayong araw ng MalacaÃ ± ang na pwede nang lumabas-labas ng bahay ang mga batang 5-anyos patas bastat nasa ilalim ng general community quarantine ( GCQ ) o modified GCQ.,operations: delete; errors: 
"Sana nga maging mature na sila na tanggapin na hindi na puwedeng i-save ang marriage nila, pero pa puwede rin silang maging friends dahil sa anak nila.","Sana nga maging mature na sila na tanggapin na hindi na puwedeng i-save ang marriage nila, pero puwede pa rin silang maging friends dahil sa anak nila.",operations: swap; errors: 
In-announce ni Tracy sa Instagram ang tungkol sa kanyang website at siya mismo ang magiging abala sa paglagay na pa content dito.,In-announce ni Tracy sa Instagram ang tungkol sa kanyang website at siya mismo ang magiging abala sa paglagay ng content dito.,"operations: substitute, insert; errors: ligature"
â € œSobra akong kasi unang-una taga-Tondo rin ako.,â € œSobra akong naka-relate kasi unang-una taga-Tondo rin ako.,"operations: substitute, delete; errors: enclitic"
Kasalu-saludo si ____ ( terminong itinatawag ng publiko sa male si TV host )!,Kasalu-saludo si ____ ( terminong itinatawag ng publiko sa male TV host )!,operations: insert; errors: 
"Mukha rin namang magiging maluwag ang pera ng mga tao, may eleksiyon eh at may nagsabi nang saku-sako ang kanilang pera.","Mukha rin namang magiging maluwag ang pera ng mga tao, may eleksiyon eh, at may nagsabi nang saku-sako ang kanilang pera.",operations: delete; errors: 
"Patuloy ang imbestigasyon sa sanhi ng apoy habang inaayos ang evacuation center para sa mga, GMA News.","Patuloy ang imbestigasyon sa sanhi ng apoy habang inaayos ang evacuation center para sa mga biktimaLBG, GMA News.",operations: delete; errors: 
"Madadagdagan ang problema ng mag-asawa dahil kay Richard ( Dominic Ochoa ), ang ex ni Marge na magiging kakumpetisyon ay din ni Jules sa bago niyang negosyo.","Madadagdagan ang problema ng mag-asawa dahil kay Richard ( Dominic Ochoa ), ang ex ni Marge na magiging kakumpetisyon din ni Jules sa bago niyang negosyo.",operations: insert; errors: 
Meron pa nga nagsumbong ng sila ni Toni Gonzaga ay ginawang utusan ang isang production staff.,Meron pa nga nagsumbong na sila ni Toni Gonzaga ay ginawang utusan ang isang production staff.,operations: substitute; errors: ligature
"Batay sa pa bagong Job Order status ang, daily rate ng street sweepers ay magiging?","Batay sa bagong Job Order status, ang daily rate ng street sweepers ay magiging?","operations: insert, swap; errors: "
"Sa panukalang € â œRapid Assistance Program for Disaster Victims Ordinance of Quezon City, â €  nais ni Vargas na gawing bahagi ng isang komprehensibong plano ang mga programa at serbisyo ng Quezon City government para mga nasalanta ng mga kalamidad.","Sa panukalang â € œRapid Assistance Program for Disaster Victims Ordinance of Quezon City, â €  nais ni Vargas na gawing bahagi ng isang komprehensibong plano ang mga programa at serbisyo ng Quezon City government para mga nasalanta ng mga kalamidad.",operations: swap; errors: 
Aware rin siya sa nangyari kay Ate Guy na na-hospitalize kaya dapat na alagaan daw ng original superstar ang kalusugan.,Aware rin siya sa nangyari kay Ate Guy na na-hospitalize kaya dapat na alagaan daw ng original superstar ang kanyang kalusugan.,operations: delete; errors: 
"Masayang-masaya si Belle Mariano dahil sa kauna-unahang pagkakataon ay makapagbibida na sa isang serye. Katambal ng aktres si Donny Pangilinan sa Hes Into Her na mapapanood na sa Kapamilya Channel simula sa May 30. â € œNgayon lang siya nagsi-sink in sa akin. Nararamdaman ko na, paparating na â € ˜ yung Heâ ng € s Into Her, parating na tayo. First lead role ko and Im surrounded by such an amazing people, â €  nakangiting bungad ni Belle.","Masayang-masaya si Belle Mariano dahil sa kauna-unahang pagkakataon ay makapagbibida na sa isang serye. Katambal ng aktres si Donny Pangilinan sa Hes Into Her na mapapanood na sa Kapamilya Channel simula sa May 30. â € œNgayon lang siya nagsi-sink in sa akin. Nararamdaman ko na, paparating na â € ˜ yung Heâ € ™ s Into Her, parating na tayo. First lead role ko and Im surrounded by such an amazing people, â €  nakangiting bungad ni Belle.","operations: insert, delete; errors: "
"Dakong alas-7: 15 naman ng gabi, arestado rin sina Edison Aguilar Dayto, 42-anyos at Zyra, 38-anyos, kapwa residente ng Purok-2, Brgy. Cabangan, Legazpi City sa buy-bust operation ng mga kasapi ng Albay Police Provincial Office at Legazpi City ay Police. Nakuha sa dalawa ang isang sachet ng shabu na nagkakahalaga ng 6, 800 piso.","Dakong alas-7: 15 naman ng gabi, arestado rin sina Edison Aguilar Dayto, 42-anyos at Zyra, 38-anyos, kapwa residente ng Purok-2, Brgy. Cabangan, Legazpi City sa buy-bust operation ng mga kasapi ng Albay Police Provincial Office at Legazpi City Police. Nakuha sa dalawa ang isang sachet ng shabu na nagkakahalaga ng 6, 800 piso.",operations: insert; errors: 
"Base sa ulat ng Super Radyo Kalibo, bahagi ito na"" Oplan Maanyag"" Altavas Municipal Police.","Base sa ulat ng Super Radyo Kalibo, bahagi ito ng"" Oplan Maanyag"" Altavas Municipal Police.",operations: substitute; errors: ligature
"Sa Chika Minute report ng â € œ24 Orasâ €  nitong Biyernes, inihayag na Sparkle Sweethearts ang kanilang excitement sa bagong proyekto, na nagmula sa isang episode ng Regal Studio Presents.","Sa Chika Minute report ng â € œ24 Orasâ €  nitong Biyernes, inihayag ng Sparkle Sweethearts ang kanilang excitement sa bagong proyekto, na nagmula sa isang episode ng Regal Studio Presents.",operations: substitute; errors: ligature
Dito na bumaba buhat sa isang motorsiklo ang gunman at pinaulanan ng putok na baril ang brooadcaster saka mabilis na nagsitakas lulan ng kanilang mga gamit sasakyan.,Dito na bumaba buhat sa isang motorsiklo ang gunman at pinaulanan ng putok ng baril ang brooadcaster saka mabilis na nagsitakas lulan ng kanilang mga gamit na sasakyan.,"operations: substitute, delete; errors: ligature"
"Samantala, nagwakas naman ang dalawang taon paghahari na pa ng Gin Kings.","Samantala, nagwakas naman ang dalawang taon na paghahari ng Gin Kings.","operations: insert, swap; errors: "
Umaabot sa 51 katao ang naaresto ng mga tauhan ng Quezon City Police District ( si QCPD ) sa serye ng police operations ng ikinasa nila sa ibat ibang lugar sa Quezon City nitong nakalipas na magdamag.,Umaabot sa 51 katao ang naaresto ng mga tauhan ng Quezon City Police District ( QCPD ) sa serye ng police operations na ikinasa nila sa ibat ibang lugar sa Quezon City nitong nakalipas na magdamag.,"operations: substitute, insert; errors: ligature"
"Ayon kay Estoperez, dahil mas gusto ng mga mamimili na bumili ng sariwang karne, nag-aalangan ang mga nagbebenta ng meat na ilabas ang kanilang mga supply nang maramihan.","Ayon kay Estoperez, dahil mas gusto ng mga mamimili na bumili ng sariwang karne, nag-aalangan ang mga nagbebenta ng frozen meat na ilabas ang kanilang mga supply nang maramihan.",operations: delete; errors: 
"At kapag nagbibihis daw ang girl, e, parang ahas lang na ng naghuhunos.","At kapag nagbibihis daw ang girl, e, parang ahas lang na naghuhunos.",operations: insert; errors: 
"Ang ibang opisyal ng barangay sa Muzon, na dapat na payagang mag-operate ng 24 oras ang mga essential services tulad na mga pagkain.","Ang ibang opisyal ng barangay sa Muzon, naniniwala na dapat na payagang mag-operate ng 24 oras ang mga essential services tulad ng mga pagkain.","operations: substitute, delete; errors: ligature"
"Samantala, nang sinagot ni Atty.","Samantala, sinagot ni Atty.","operations: insert, swap; errors: "
"Nagkita sina Dimples at Kim sa lobby na SM Megamall at biniro ng ang huli, â € œSabi ko sa kanila, ang galing-galing ni Jerald! â € ","Nagkita sina Dimples at Kim sa lobby ng SM Megamall at biniro ng una ang huli, â € œSabi ko sa kanila, ang galing-galing ni Jerald! â € ","operations: substitute, delete; errors: ligature"
"Kung isa lang ang kandidato nila 1Sambayan at dalawa ang kandidato ng administrasyon Duterte at, meron silang malaking tyansa. Meron silang laban, ika nga, sabi pa ng Yusingco.","Kung isa lang ang kandidato nila 1Sambayan at dalawa ang kandidato ng administrasyon Duterte at Pacquiao, meron silang malaking tyansa. Meron silang laban, ika nga, sabi pa ng Yusingco.",operations: delete; errors: 
"Ito ang ibinahagi ng Department of Tourism, Huwebes, matapos ang awarding na iginawad noong ika-9 ng Nobyembre ng isa sa"" longest running"" publications na nasa forefront ng sustainable travel sa nakalipas na 29 nang taon.","Ito ang ibinahagi ng Department of Tourism, Huwebes, matapos ang awarding na iginawad noong ika-9 ng Nobyembre ng isa sa"" longest running"" publications na nasa forefront ng sustainable travel sa nakalipas na 29 taon.",operations: insert; errors: 
Kung magiging masikip na ang mundo ng showbiz para sa isang kilalang personality ay meron pa si rin siyang magiging trabaho.,Kung magiging masikip na ang mundo ng showbiz para sa isang kilalang female personality ay meron pa rin siyang magiging trabaho.,"operations: insert, delete; errors: "
"Super ate nga raw ang turing sa kanya ni Julia at nung panahong tinitira ito dahil sa paghihiwalay nina Gerald at Bea Alonzo, nag-reach out daw si Chair Liza sa batang aktres at sinabing Im, just here, wag kang makinig sa mga sinasabi ng iba.","Super ate nga raw ang turing sa kanya ni Julia at nung panahong tinitira ito dahil sa paghihiwalay nina Gerald at Bea Alonzo, nag-reach out daw si Chair Liza sa batang aktres at sinabing, Im just here, wag kang makinig sa mga sinasabi ng iba.",operations: swap; errors: 
Nang duguang bumagsak ang biktima ay kaswal lamang ng naglakad lamang ang suspek patungong P.,Nang duguang bumagsak ang biktima ay kaswal lamang na naglakad lamang ang suspek patungong P.,operations: substitute; errors: ligature
Nadiskubre na lamang ng naka-duty na security guard ang isang butas nang buksan niya ang bank managers office kung saan wasak ATM naang at nalimas ang ang laman na pera.,Nadiskubre na lamang ng naka-duty na security guard ang isang butas nang buksan niya ang bank managers office kung saan wasak naang ATM at nalimas ang laman na pera.,"operations: insert, swap; errors: "
Sa loob ng pitong taon ng pagiging aktibo sa show business ay nasubukan na ng aktres na mula gumanap supporting role hanggang si sa naging lead role.,Sa loob ng pitong taon ng pagiging aktibo sa show business ay nasubukan na ng aktres na gumanap mula supporting role hanggang sa naging lead role.,"operations: insert, swap; errors: "
"Sinabi Mark ni na narinig ng testigo ang isang pulis na nagsabing, Okay na, patay na.","Sinabi ni Mark na narinig ng testigo ang isang pulis na nagsabing, Okay na, patay na.",operations: swap; errors: 
Sinabi ng Pangulo na hindi na niya kailangan ng mga espesyal na kapangyarihan dahil nagsimula na na kanyang ang administrasyon ng mga interbensyon upang pagaanin ang mga epekto ng inflation.,Sinabi ng Pangulo na hindi na niya kailangan ng mga espesyal na kapangyarihan dahil nagsimula na ang kanyang administrasyon ng mga interbensyon upang pagaanin ang mga epekto ng inflation.,"operations: insert, swap; errors: "
Kasama na ang playmaker sa mga ensayo ng Ginebra bilang paghahanda sa Philippine Cup na magbubukas sa sa Smart Coliseum Araneta.,Kasama na ang playmaker sa mga ensayo ng Ginebra bilang paghahanda sa Philippine Cup na magbubukas sa Linggo sa Smart Araneta Coliseum.,"operations: delete, swap; errors: "
Walang batas ng explicitly saying puwedeng isapribado,Walang batas na explicitly saying puwedeng isapribado.,"operations: delete, substitute; errors: ligature"
"May gulo pa kasi sa Comelec ang PDP so obviously hindi siya ang roon tatakbo, dagdag pa Salceda ni.","May gulo pa kasi sa Comelec ang PDP so obviously hindi siya roon tatakbo, dagdag pa ni Salceda.","operations: insert, swap; errors: "
Palaging sinasabi ngayon ni si Kris na hindi natin dapat unahan ang kalooban ng Diyos.,Palaging sinasabi ngayon ni Kris na hindi natin dapat unahan ang kalooban ng Diyos.,operations: insert; errors: 
"Sa imbestigasyon ng pulisya nangyari, ang pamamaril sa Pinagbuhatan sa Pasig, dakong 11: 00 00 pm noong Pebrero 5.","Sa imbestigasyon ng pulisya, nangyari ang pamamaril sa Pinagbuhatan sa Pasig, dakong 11: 00 pm noong Pebrero 5.","operations: substitute, swap; errors: repetition"
"Nakatakda na namang magpatawag ang DOTr ng public consultation hinggil sa petisyon sa Pebrero 17 upang makuha ang opinyon ng publiko, na siyang maaapektuhan. nito","Nakatakda namang magpatawag ang DOTr ng public consultation hinggil sa petisyon sa Pebrero 17 upang makuha ang opinyon ng publiko, na siyang maaapektuhan nito.","operations: swap, insert; errors: "
"Basta ibigay mo, malalaman din iyon, mas masarap dahil alam na binigyan mo na hindi mo siya binigyan para lang pag-usapan ka, iyon talagang bukal sa loob mo ang. tulong","Basta ibigay mo, malalaman din iyon, mas masarap dahil alam ng binigyan mo na hindi mo siya binigyan para lang pag-usapan ka, iyon talagang bukal sa loob mo ang tulong.","operations: swap, substitute; errors: ligature"
"Partida pa nga naman na hindi active sa social media si Sarah sa kasalukuyan at tagal na ng kantang ito ng Pop Royalty, 2018 pa, na kasama sa kanyang This 15 Me album.","Partida pa nga naman na hindi active sa social media si Sarah sa kasalukuyan at ang tagal na ng kantang ito ng Pop Royalty, 2018 pa, na kasama sa kanyang This 15 Me album.",operations: delete; errors: 
Primarya pa ring naipapasa ang nakamamatay na virus sa pamamagitan na droplets.,Primarya pa ring naipapasa ang nakamamatay na virus sa pamamagitan ng droplets.,operations: substitute; errors: ligature
"Dati po 12, 000, 13 000 ganyan, pahayag pa ni Lauta, nang matanong, kung nagkaroon na ba nang pagtaas sa kanilang daily ridership.","Dati po 12, 000, 13, 000 ganyan, pahayag pa ni Lauta, nang matanong, kung nagkaroon na ba nang pagtaas sa kanilang daily ridership.","operations: swap, delete; errors: "
"Pero Pero to conduct investigation, eh sampal yan sa ating judicial system, sampal yan sa ating SC, sa ating mga court, sabi ni Dela Rosa.","Pero to conduct investigation, eh sampal yan sa ating judicial system, sampal yan sa ating SC, sa ating mga court, sabi ni Dela Rosa.",operations: substitute; errors: repetition
"Kaya maingat siya sa ay mga sagot niya dahil so far, pa wala rin daw sinasabi ang Net 25 kung ano na talaga ang desisyon nila.","Kaya maingat siya sa mga sagot niya dahil so far, wala pa rin daw sinasabi ang Net 25 kung ano na talaga ang desisyon nila.","operations: insert, swap; errors: "
"Maliban sa Got 2 Believe, palabas din KTX ang ilan pang restored hits niya tulad ng Maalaala Mo Kaya...","Maliban sa Got 2 Believe, palabas din sa KTX ang ilan pang restored hits niya tulad ng Maalaala Mo Kaya...",operations: delete; errors: 
Kuwento ni Hidilyn sa video na in-upload manager ng niyang si Noel Ferrer ay nagising daw siya bigla ng dahil ang buong akala niya ay niyuyugyog siya ni Julius.,Kuwento ni Hidilyn sa video na in-upload ng manager niyang si Noel Ferrer ay nagising daw siya bigla dahil ang buong akala niya ay niyuyugyog siya ni Julius.,"operations: swap, insert; errors: "
"Panghuli, ang RA 11517 ay pinahihintulutan ang Pangulo ng pabilisin ang paglalabas ng mga permit at lisensya sa panahon ng national. emergency","Panghuli, ang RA 11517 ay pinahihintulutan ang Pangulo na pabilisin ang paglalabas ng mga permit at lisensya sa panahon ng national emergency.","operations: substitute, swap; errors: ligature"
Na para bang super-yaman siya na pera lang niya ang gusto ng lalaki hindi siya naman mahal!,Na para bang super-yaman siya na pera lang niya ang gusto ng lalaki at hindi naman siya mahal!,"operations: delete, swap; errors: "
"Ilang araw pa bago magsara ang voter registration ng Comelec sa Setyembre 30, pinaalalahanan ni Robi ang mga guro at mag-aaral Biliran Province State University sa Botante Ako!","Ilang araw bago magsara ang voter registration ng Comelec sa Setyembre 30, pinaalalahanan ni Robi ang mga guro at mag-aaral ng Biliran Province State University sa Botante Ako!","operations: delete, insert; errors: "
ang Nagkamali talaga siya,Nagkamali talaga siya.,"operations: insert, delete; errors: "
"Enjoy nga raw si KC ay sa Amerika at ayon sa ilang Filipino, nakikita nila si KC doon na ka-date si Apl. De. Ap.","Enjoy nga raw si KC sa Amerika at ayon sa ilang Filipino, nakikita nila si KC doon na ka-date si Apl. De. Ap.",operations: insert; errors: 
Sa 890 bagong kaso ng. 5.,Sa 890 bagong kaso ng BA. 5.,operations: delete; errors: 
"After 2 hours naitawid din ang tawid dagat. # BOLERA, saad ni Kylie sa caption na kitang-kita ang tuwa nang niya ang pambihirang tira.","After 2 hours naitawid din ang tawid dagat. # BOLERA, saad ni Kylie sa caption na kitang-kita ang tuwa nang magawa niya ang pambihirang tira.",operations: delete; errors: 
"Ang gusto ko rito sa bandang huli, dahil sa sobrang pagmamahal niya kay Clarisse, nagising pa siya sa katotohanan katotohanan, nagparaya siya, ani Dion.","Ang gusto ko rito sa bandang huli, dahil sa sobrang pagmamahal niya kay Clarisse, nagising siya sa katotohanan, nagparaya siya, ani Dion.","operations: insert, substitute; errors: repetition"
"Kinilala ng Sta Ana Police ang mga nasawi na sina Joselito Pira, 57 nang, at Jomar Patrick Alibania, 13, kapwa residente ng nasabing lugar.","Kinilala ng Sta Ana Police ang mga nasawi na sina Joselito Pira, 57, at Jomar Patrick Alibania, 13, kapwa residente ng nasabing lugar.",operations: insert; errors: 
"Hindi lang tayo sure riyan, moving dahil on na sila sa kuwento.","Hindi lang tayo sure riyan, dahil moving on na sila sa kuwento.",operations: swap; errors: 
"Nagbanta umano ang tatay na may mangyayari sa kanilang mag-ama hindi makipagbalikan ang kinakasamaLBG, GMA News.","Nagbanta umano ang tatay na may mangyayari sa kanilang mag-ama kung hindi makipagbalikan ang kinakasamaLBG, GMA News.",operations: delete; errors: 
Itinaas din ang ikalawang sunog sa unang alarma bago ng tuluyang idineklarang fireout bago mag-alas-10: 00 ng. umaga Wala namang nasaktan o nasawi sa insidente.,Itinaas din ang ikalawang sunog sa unang alarma bago tuluyang idineklarang fireout bago mag-alas-10: 00 ng umaga. Wala namang nasaktan o nasawi sa insidente.,"operations: insert, swap; errors: "
